Name,Distance,Mass,Radius,Luminosity
SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,
2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,
LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,
2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,
2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,
2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,
2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,
2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,
2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,
2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,
2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47
2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,
WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,
2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,
2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,
2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,
CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08
2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,
SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,
2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,
2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,
SDSS J015141.69+124429.6,Aries,1h 51m 41.55s,12° 44′ 30″,
DENIS-P J020529.0−115925A,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
DENIS-P J020529.0−115925B,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
DENIS-P J020529.0−115925C,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,
2MASS J02103857-3015313,Fornax,2h 10m 38.57s,−30° 15′ 31.3″,
2MASS J02340093-6442068,Horologium,2h 34m 0.93s,−64° 42′ 6.8″,
2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,
